Id,STseg,TTseg,ParaId,Segmentation,Study,Session,SL,TL,Task,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,TAGnbr,SAGnbr,HSgrp,Cross,HCross,HTra,HSTC,HTot,HTotN
1,1,1,1,paragraph,CREATIVE2_A1,P09_P2,en,zh,P,2,P09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,---,?,1,1,0,1,0.46,1.14,1.14,2.22,0.64
2,2,2,2,paragraph,CREATIVE2_A1,P09_P2,en,zh,P,2,P09,3,2827028,1332974,1391980,1421195,13853,90,1410537,24511,63,1401095,33953,49,1385715,49333,38,1340914,94134,22,24,0,0,0,0,0,0,0,0,181,171,181,171,0,0,0,0,126,696,156,258,0,---,???_????_?_?_?_??_?_??_?_??_??_?_?_??_?_?_??_?_??_??_?_??_????_?_??_?_??_?_??_??_??_??_?_??_??_?_??_??_?_??_?_S_?_?_ilites_?_??_??_??_?_?_?_?_??_?_??_?_??_?_??_??_?_??_?_??_?_??_??_?_??_?_(_Rashida_)_?_??_?_??_?_??_?_??_?_?_?_???_?_?_??_?_?_??_(_Kito_)_?_?_?_?_??_?_?_??_?_?_?_—_—_??_??_??_?_??_??_?_?_??_?_??_?_??_??_??_??_?_?_???_??_??_??_?_??_?_?_?_??_??_??_?_?_??_?_?_??_??_500_?_??_?_?_?_??_?_??_??_?,1.66,1.51,0.72,4.06,1.71,1.78,2.32,8.92,0.85
3,3,3,3,paragraph,CREATIVE2_A1,P09_P2,en,zh,P,2,P09,2,146272,146272,53861,85534,6877,40,78963,13448,24,72678,19733,14,66542,25869,10,50286,42125,4,7,0,0,0,0,0,0,0,0,80,78,80,78,0,0,0,0,16,56,15,26,0,---,??_??_??_?_???_?_??_?_?_??_??_?_?_??_?,1.5,1.75,1.55,1.81,1.4,2.67,2.98,5.71,0.77
4,4,4,4,paragraph,CREATIVE2_A1,P09_P2,en,zh,P,2,P09,4,1299667,1090186,405914,878517,15236,90,869254,24499,66,851004,42749,40,835935,57818,29,819796,73957,24,23,0,0,0,0,0,0,0,0,197,207,197,207,0,0,0,0,89,436,97,163,0,---,?_??_??_?_?_?_??_?_S_?_?_ilite_?_??_?_??_?_?_?_??_??_??_Kito_??_?_??_??_??_?_??_?_??_?_?_?_??_??_??_?_??_?_?_??_?_?_??_?_??_?_??_??_??_?_?_??_?_???_?_??_?_??_??_??_???_?_?_?_??_?_?_?_??_???_?_??_?_??_?_??_??_??_?_?_??_??_?_???_??_?_?_?_??_??_?_??_?_?,2.07,2.1,1.03,4.83,2.14,2.28,2.82,8.53,0.86
5,5,5,5,paragraph,CREATIVE2_A1,P09_P2,en,zh,P,2,P09,1,490864,490864,51532,429538,9794,77,417364,21968,47,405724,33608,30,394349,44983,21,363770,75562,13,15,0,0,0,0,0,0,0,0,152,153,152,153,0,0,0,0,21,107,26,46,0,---,???_??_?_??_??_??_?_?_S_?_?_ilite_???_?_?_??_??_??_?_??_?_?_?_??_?_?,2.14,1.76,0.87,4.67,2.48,2.45,3.08,6.7,0.85
1,1,1,6,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,3,314904,64850,274961,36639,3304,17,34571,5372,11,30402,9541,6,27924,12019,4,25824,14119,3,3,0,0,0,0,0,0,0,0,40,40,40,40,0,0,0,0,3,18,2,4,0,---,??_??,1,1.67,0.15,1.33,1.74,2.66,3.32,2.92,0.6
2,2,2,7,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,1,16234,16234,9662,6140,432,3,6140,432,3,6140,432,3,3577,2995,1,0,6572,0,2,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,6,28,3,8,0,---,??_??_???,0.83,1.83,2.6,1.5,1.52,2.32,3.06,4.38,0.74
3,3,3,8,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,1,44567,44567,37505,6440,622,3,6440,622,3,6440,622,3,4878,2184,2,0,7062,0,2,0,0,0,0,0,0,0,0,9,8,9,8,0,0,0,0,11,53,15,21,0,---,?_?_?_??_?_??_?_?_?_??_?_??_??_?_?,1.36,1,0.3,4.45,1.17,0.64,1.58,4.72,0.7
4,4,4,9,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,3,74147,74147,59263,13112,1772,10,11430,3454,6,7474,7410,1,7474,7410,1,7474,7410,1,4,0,0,0,0,0,0,0,0,27,26,27,26,0,0,0,0,8,39,7,13,0,---,?_?_??_????_?_??_?,1.5,2,0.52,2.38,1.03,1.4,1.55,4.51,0.71
5,5,5,9,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,1,11885,11885,5757,4282,1846,3,3831,2297,2,3233,2895,1,3233,2895,1,0,6128,0,1,0,0,0,0,0,0,0,0,17,13,17,13,0,0,0,0,12,47,13,19,0,---,?_?_?_?_??_??_?_??_??_?_?_??_?,1.5,1.33,0.49,4.08,2,1.16,2.02,4.25,0.62
6,6,6,9,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,4,630862,630862,141454,475011,14397,137,461682,27726,104,426202,63206,55,404065,85343,39,343278,146130,19,23,0,0,0,0,0,0,0,0,240,252,240,252,0,0,0,0,36,184,32,54,0,---,?_??_?_??_?_?_?_?_?_?_??_?_??_?_eMotive_??_?_??_?_??_?_??_??_???_?_?_??_??_?_??_??_?,1.81,2.33,1.21,3.83,1.78,1.93,2.47,6.98,0.82
7,7,7,9,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,1,330448,330448,55157,271168,4123,21,269439,5852,17,267294,7997,13,262938,12353,10,247945,27346,6,7,0,0,0,0,0,0,0,0,66,62,66,62,0,0,0,0,22,99,27,41,0,---,??_?_?_??_??_??_?_???_?_?_??_??_?_??_?_?_?_??_?_??_?_?_??_?_?_??_?,1.5,1.36,0.54,2.64,1.27,1.45,2.1,6.23,0.8
8,8,8,9,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,1,17353,17353,7485,8749,1119,7,6799,3069,2,6248,3620,1,6248,3620,1,6248,3620,1,1,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,7,40,7,13,0,---,??_?_??_???_?_??_?,1.14,1.29,0.07,1.29,0.45,0.31,0.54,3.67,0.6
9,9,9,9,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,2,47361,47361,30065,16135,1161,9,14223,3073,4,14223,3073,4,12811,4485,3,5140,12156,1,6,0,0,0,0,0,0,0,0,21,18,21,18,0,0,0,0,8,31,8,13,0,---,??_?_?_??_??_??_?_?,1.25,1.5,0.95,3.38,1.93,1.32,2.49,5.03,0.79
10,10,10,9,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,3,66134,66134,46394,17204,2536,19,13876,5864,10,10842,8898,6,5094,14646,2,0,19740,0,6,0,0,0,0,0,0,0,0,49,44,49,44,0,0,0,0,11,47,13,24,0,---,??_?_2017_?_?_?_??_??_??_??_??_?_?,1.91,1.55,1.32,5.64,1.94,2.38,2.78,5.93,0.87
11,11,11,9,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,2,181855,181855,51491,124679,5685,27,119300,11064,14,117142,13222,11,112700,17664,8,97120,33244,3,7,0,0,0,0,0,0,0,0,82,80,82,80,0,0,0,0,17,94,17,34,0,---,????_??_?_?_??_?_??_??_????_?_????_?_??_??_??_?_?,2.35,2.41,2.01,4.06,2.46,2.39,2.75,5.94,0.8
12,12,12,9,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,1,51523,51523,15762,30817,4944,21,27413,8348,12,23574,12187,6,21961,13800,5,12078,23683,1,2,0,0,0,0,0,0,0,0,71,68,71,68,0,0,0,0,10,48,11,18,0,---,?_??_??_??_?_?_??_?_??_??_?,1.5,1.4,0.06,1.8,0.81,1.04,1.42,4.25,0.64
13,13,13,10,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,3,103414,103414,58895,42389,2130,16,40380,4139,11,38472,6047,8,35158,9361,5,27760,16759,2,8,0,0,0,0,0,0,0,0,36,34,36,34,0,0,0,0,23,105,29,43,0,---,??_?_??_??_?_?_?_?_????_?_?_??_?_?_?_??_?_?_?_??_??_?_??_?_??_?_?_??_?,1.57,1.26,0.63,3.26,1.5,1.49,2.25,6,0.76
14,14,14,10,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,2,418880,418880,90564,317629,10687,62,311123,17193,45,299353,28963,26,287979,40337,17,275018,53298,13,16,0,0,0,0,0,0,0,0,180,184,180,184,0,0,0,0,30,144,25,44,0,---,??_??_??_?_??_??_?_???_?_??_??_?_?_??_?_??_??_??_?_??_???_??_??_?_?,1.8,2.4,1.23,4.03,1.98,1.96,2.64,6.59,0.8
15,15,15,10,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,3,231616,231616,127942,95564,8110,33,92473,11201,25,83776,19898,12,77362,26312,7,68855,34819,4,5,0,0,0,0,0,0,0,0,111,107,111,107,0,0,0,0,28,141,27,41,0,---,??_??_?_?_?_?_??_?_??_?_?_?_??_?_??_?_??_??_??_?_?_??_??_??_??_?_?,1.32,1.5,0.39,2.79,1.39,1.14,1.79,6.26,0.77
16,16,16,10,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,3,79679,79679,58669,19685,1325,14,18356,2654,11,16062,4948,8,8512,12498,3,0,21010,0,5,0,0,0,0,0,0,0,0,27,24,27,24,0,0,0,0,9,35,9,16,0,---,??_??_???_??_?_?_?_??_?,1.44,1.89,0.76,3,2.16,2.66,3.32,4.26,0.66
17,17,17,10,sentence,CREATIVE2_A1,P09_P5,en,zh,P,5,P09,6,449102,449102,136210,294435,18457,102,280974,31918,68,263911,48981,42,245604,67288,28,207686,105206,15,32,0,0,0,0,0,0,0,0,300,271,300,271,0,0,0,0,17,77,25,41,0,---,?_??_?_??_600_?_??_?_?_??_??_?_?_?_?_??_??_?_?_?_?_?_??_????_?,3.76,2.41,1.67,11.35,2.87,2.21,3.14,6.08,0.82
1,1,1,1,paragraph,CREATIVE2_A1,P10_P2,en,zh,P,2,P10,1,10187,10187,10183,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,1,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,1,5,1,5,0,---,ZeroS,1,1,0,1,0.46,2.46,2.46,2.22,0.64
2,2,2,2,paragraph,CREATIVE2_A1,P10_P2,en,zh,P,2,P10,3,1746685,1049701,718454,982985,45246,207,959622,68609,150,913225,115006,82,871576,156655,51,821827,206404,36,35,0,0,0,0,0,0,0,0,431,414,431,414,0,0,0,0,126,696,151,250,0,---,Asante_????_?_??_?_??_??_?_?_??_?_?_??_?_??_?_??_??_??_?_??_?_??_?_??_???_??_?_??_??_?_?_??_?_??_??_?_??_?_S_?_?_ilites_?_??_?_??_?_?_?_??_??_?_??_?_?_??_??_?_?_??_??_??_?_Rashida_?_??_?_?_??_?_??_?_??_?_?_?_???_??_?_??_?_?_Kito_?_?_?_?_??_?_?_??_?_?_?_—_—_??_??_??_??_?_??_?_??_?_?_?_??_??_??_??_?_?_??_?_??_?_??_?_?_?_?_??_???_?_??_?_???_??_?_?_??_??_??_??_??_??_?_?_??_?_?_?_??_?_?_??_??_??_?,1.73,1.63,0.8,5.4,1.72,1.95,2.46,8.92,0.85
3,3,3,3,paragraph,CREATIVE2_A1,P10_P2,en,zh,P,2,P10,2,132312,132312,115219,12533,4560,15,10232,6861,9,6781,10312,4,3031,14062,1,0,17093,0,4,0,0,0,0,0,0,0,0,37,38,37,38,0,0,0,0,16,56,10,23,0,---,Asnate_??_??_?_?_??_??_?_??_?,1.75,4.12,1.39,2.38,1.54,2.46,2.7,5.71,0.77
4,4,4,4,paragraph,CREATIVE2_A1,P10_P2,en,zh,P,2,P10,2,611294,611294,19756,567125,24413,126,551670,39868,88,529930,61608,56,496816,94722,33,446089,145449,17,23,0,0,0,0,0,0,0,0,234,246,234,246,0,0,0,0,89,436,100,161,0,---,??_?_??_?_?_?_??_?_S_?_?_ilite_??_?_?_?_??_?_?_?_??_?_Kito_?_??_??_?_??_?_??_?_??_?_?_?_?_??_?_??_?_??_?_?_??_?_??_?_??_?_??_??_??_?_?_??_?_Asante_?_?_??_?_??_?_?_???_??_??_?_?_?_??_??_?_?_?_??_???_?_??_??_?_??_??_??_?_?_??_??_?_?_??_?_?_?_??_??_?_??_??_?,1.79,1.76,0.81,4.45,2.1,2.21,2.79,8.53,0.86
5,5,5,5,paragraph,CREATIVE2_A1,P10_P2,en,zh,P,2,P10,2,242437,242437,86864,135794,19779,56,129579,25994,41,117193,38380,23,103905,51668,14,74822,80751,5,11,0,0,0,0,0,0,0,0,147,149,147,149,0,0,0,0,21,107,23,45,0,---,?_?_?_??_??_?_Asante_??_??_?_?_?_S_?_?_ilite_???_?_?_??_??_??_?,1.95,2.14,1.26,6.05,2.47,1.91,3.11,6.7,0.85
1,1,1,6,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,2,4,0,---,??_??,1,1.67,0.15,1,0.51,1,1,2.92,0.6
2,2,2,7,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,105681,105681,99126,6542,13,4,6232,323,3,6232,323,3,2773,3782,1,0,6555,0,1,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,6,28,3,8,0,---,??_??_???,1,3,2.6,1.67,1.28,2.32,3.06,4.38,0.74
3,3,3,8,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,81132,81132,14487,64646,1999,12,62251,4394,6,61502,5143,5,58743,7902,3,55702,10943,2,6,0,0,0,0,0,0,0,0,19,18,19,18,0,0,0,0,11,53,15,21,0,---,?_?_??_??_??_?_?_?_?_?_?_??_??_?_?,1.45,1.18,0.41,4.27,1.09,1.15,1.85,4.72,0.7
4,4,4,9,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,3475,3475,2636,344,495,1,0,839,0,0,839,0,0,839,0,0,839,0,1,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,8,39,7,12,0,---,?_?_??_??_??_??_?,1.12,1.75,0.38,2,0.98,1.07,1.28,4.51,0.71
5,5,5,9,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47,11,15,0,---,?_?_?_?_?_??_??_?_?_??_?,1,1.17,0.19,2.83,0.31,0.19,0.39,4.25,0.62
6,6,6,9,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,2,365986,365986,33004,319936,13046,96,305692,27290,59,285743,47239,30,267778,65204,17,231799,101183,7,14,0,0,0,0,0,0,0,0,147,151,147,151,0,0,0,0,36,184,34,62,0,---,?_?_?_?_?_?_?_shofar_??_??_eMotiv_??_?_??_?_??_?_?_?_??_??_?_??_??_?_???_??_?_?_?_?_??_??_?,1.19,1.61,0.73,5.33,1.78,1.61,2.39,6.98,0.82
7,7,7,9,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,36773,36773,29147,7451,175,4,6701,925,2,5813,1813,1,5813,1813,1,5813,1813,1,2,0,0,0,0,0,0,0,0,4,5,4,5,0,0,0,0,22,99,26,36,0,---,?_??_??_??_?_?_??_?_?_?_?_??_?_?_?_?_?_??_?_??_?_??_?_?_??_?,1.27,1.18,0.56,2.18,1.24,1.34,1.73,6.23,0.8
8,8,8,9,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,7,13,0,---,??_?_??_???_?_??_?,1.14,1.29,0.07,1.29,0.45,0.91,1.16,3.67,0.6
9,9,9,9,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,61220,61220,14717,44329,2174,12,42022,4481,6,40562,5941,4,40562,5941,4,35515,10988,2,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,8,31,6,10,0,---,?_??_??_?_??_?,1,1.75,0.71,3,2.19,1.84,2.87,5.03,0.79
10,10,10,9,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,42575,42575,5484,32956,4135,22,30283,6808,15,25653,11438,8,19202,17889,3,19202,17889,3,3,0,0,0,0,0,0,0,0,51,46,51,46,0,0,0,0,11,47,14,24,0,---,??_?_?_2017_?_?_?_??_??_?_??_??_?_?,1.27,1,0.59,4.27,2.1,1.49,2.66,5.93,0.87
11,11,11,9,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,99048,99048,74202,21723,3123,19,17939,6907,10,14460,10386,5,11732,13114,3,5795,19051,1,3,0,0,0,0,0,0,0,0,23,36,23,36,0,0,0,0,17,94,9,19,0,---,????_??_??_?_?_???_??_??_?,1,2.76,2.21,1.82,2.49,1.97,2.66,5.94,0.8
12,12,12,9,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,21594,21594,15584,4350,1660,9,1511,4499,2,0,6010,0,0,6010,0,0,6010,0,1,0,0,0,0,0,0,0,0,24,22,24,22,0,0,0,0,10,48,9,17,0,---,?_??_????_?_?_??_??_??_?,1.2,1.4,0.06,1.3,0.65,1,1.12,4.25,0.64
13,13,13,10,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,48911,48911,11731,36608,572,10,35066,2114,6,34549,2631,5,34549,2631,5,32502,4678,4,6,0,0,0,0,0,0,0,0,8,9,8,9,0,0,0,0,23,105,27,40,0,---,??_??_??_?_?_?_??_?_?_?_??_?_?_?_??_?_??_??_??_?_??_?_??_?_?_??_?,1.26,1.26,0.42,2.91,0.79,0.79,1.11,6,0.76
14,14,14,10,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,308220,308220,25773,274446,8001,55,264751,17696,31,253264,29183,14,244026,38421,8,241363,41084,7,8,0,0,0,0,0,0,0,0,104,100,104,100,0,0,0,0,30,144,29,52,0,---,??_??_??_?_?_??_??_??_?_???_?_??_??_??_?_????_?_??_??_??_?_?_?_??_???_??_??_?_?,1.53,2,1.35,3.23,1.87,1.39,2.3,6.59,0.8
15,15,15,10,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,50487,50487,11797,37061,1629,8,35679,3011,5,35679,3011,5,33733,4957,4,27177,11513,2,4,0,0,0,0,0,0,0,0,21,16,21,16,0,0,0,0,28,141,29,42,0,---,??_?_??_?_?_?_?_??_??_?_?_?_?_??_?_??_?_??_?_?_??_?_??_?_??_??_??_?_?,1.29,1.29,0.28,2.71,1.35,0.96,1.76,6.26,0.77
16,16,16,10,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,8,13,0,---,?_???_?_?_??_?_??_?,1.33,1.67,0.07,1.44,0.45,0.52,0.71,4.26,0.66
17,17,17,10,sentence,CREATIVE2_A1,P10_P5,en,zh,P,5,P10,1,59628,59628,23727,31526,4375,13,29402,6499,7,27160,8741,4,26063,9838,3,23472,12429,2,3,0,0,0,0,0,0,0,0,40,43,40,43,0,0,0,0,17,77,14,27,0,---,?_?_??_600_??_??_??_?_?_??_?_?_????_?,1.18,1.71,1.05,2.59,1.46,1.68,2.41,6.08,0.82
1,1,1,1,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,1,17337,17337,17332,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,1,5,1,0,0,0,0,1,5,1,5,0,---,ZeroS,1,1,0,1,0.46,2.46,2.46,2.22,0.64
2,2,2,2,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,5,608277,169023,601370,4179,2728,5,3090,3817,2,2523,4384,1,2523,4384,1,0,6907,0,7,0,0,0,0,0,0,0,0,37,27,37,27,0,0,0,0,5,27,7,16,0,---,Asante_??_?_?_?_??_?,1.4,1,1.11,3.2,1.71,2.37,2.74,4.06,0.7
3,3,3,2,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,4,191315,191315,125542,61022,4751,30,57383,8390,20,49832,15941,9,43768,22005,5,37875,27898,3,7,0,0,0,0,0,0,0,0,82,80,82,80,0,0,0,0,15,73,16,28,0,---,??_?_??_??_?_?_??_?_???_?_???_?_??_?_???_?,1.2,1.13,0,1.53,0.96,1.56,1.84,5.41,0.74
4,4,4,2,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,5,290096,290096,182560,106714,822,5,106358,1178,4,105529,2007,3,104161,3375,2,104161,3375,2,11,0,0,0,0,0,0,0,0,42,38,42,38,0,0,0,0,16,91,17,30,0,---,??_?_??_??_??_??_?_??_??_?_??_??_??_??_?_??_?,1.44,1.38,0.4,2.88,1.35,1.57,1.86,5.92,0.79
5,5,5,2,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,6,423455,423455,314213,102772,6470,23,100291,8951,17,96771,12471,12,89049,20193,7,82187,27055,5,10,0,0,0,0,0,0,0,0,85,86,85,86,0,0,0,0,35,180,43,73,0,---,S_?_?_ilite_?_?_??_??_??_?_?_?_??_??_?_??_?_?_??_??_?_??_?_??_?_??_?_Rashida_?_??_?_??_?_??_?_?_?_???_?_?_??_?_?,1.49,1.29,0.42,3.06,1.55,1.22,1.93,7.11,0.83
6,6,6,2,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,6,1090576,1090576,351626,707428,31522,128,695563,43387,99,672851,66099,65,644260,94690,46,587581,151369,27,44,0,0,0,0,0,0,0,0,372,370,372,370,0,0,0,0,55,325,60,103,0,---,Kito_?_?_??_??_?_??_??_?_??_—_??_??_??_??_??_??_??_??_??_?_?_?_??_??_??_?_??_?_??_?_??_?_???_??_?_?_?_??_?_?_??_?_?_?_??_500_?_??_?_??_?_?_?_??_??_??_?_??_?,1.45,1.62,1.09,3,1.83,2.26,2.85,8.02,0.87
7,7,7,3,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,2,53056,53056,40612,10792,1652,11,9216,3228,7,6423,6021,2,5131,7313,1,5131,7313,1,2,0,0,0,0,0,0,0,0,34,31,34,31,0,0,0,0,8,29,6,16,0,---,??_Asante_??_?_?_?,1.5,2.25,1.3,2.88,2.75,2.81,3.08,5.09,0.79
8,8,8,3,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,1,10990,10990,10985,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,1,0,0,0,0,0,0,0,0,1,5,1,5,0,0,0,0,8,27,4,7,0,---,?_??_??_?,1,2.25,1.86,1.25,2.07,1.99,3.11,4.47,0.69
9,9,9,4,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,4,190242,190242,139611,39450,11181,22,36088,14543,13,32446,18185,7,30972,19659,6,17804,32827,2,4,0,0,0,0,0,0,0,0,108,106,108,106,0,0,0,0,4,14,6,9,0,---,?_??_?_?_??_?,1.5,1,0.49,2,1.01,1.44,1.69,3.86,0.71
10,10,10,4,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,8,1800281,1513570,472324,1267234,60723,220,1248372,79585,170,1205496,122461,108,1157091,170866,73,1059636,268321,43,58,0,0,0,0,0,0,0,0,705,712,705,712,0,0,0,0,27,140,37,63,0,---,?_?_?_?_??_?_?_??_?_??_??_Kito_??_??_?_S_?_?_ilite_??_?_?_??_?_?_??_?_??_??_?_?_?_?_??_??_??_?,1.85,1.74,1.32,6.22,2.51,2.45,3.18,7.25,0.88
11,11,11,4,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,2,93080,93080,80619,9937,2524,5,9537,2924,4,9537,2924,4,7113,5348,2,5066,7395,1,4,0,0,0,0,0,0,0,0,35,39,35,39,0,0,0,0,14,73,14,22,0,---,??_??_?_??_?_?_??_?_??_?_??_?_??_?,1.21,1.43,0.48,2.29,1.35,1.65,2.15,5.62,0.77
12,12,12,4,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,4,273216,273216,239750,30821,2645,12,29938,3528,10,27317,6149,6,23088,10378,3,20883,12583,2,9,0,0,0,0,0,0,0,0,47,51,47,51,0,0,0,0,10,47,5,16,0,---,Asante_??_??_???_?,1,2.6,0.6,1.8,2.54,2.21,2.9,5.24,0.77
13,13,13,4,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,6,227002,227002,182232,35766,9004,16,32124,12646,6,30465,14305,3,28555,16215,2,26108,18662,1,6,0,0,0,0,0,0,0,0,102,101,102,101,0,0,0,0,5,20,6,9,0,---,?_?_??_?_??_?,1.8,1.4,0.17,3,2.7,2.21,2.9,4.16,0.72
14,14,14,4,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,6,449175,449175,282193,153300,13682,41,148427,18555,29,137917,29065,15,128780,38202,9,114848,52134,4,17,0,0,0,0,0,0,0,0,163,165,163,165,0,0,0,0,29,142,23,40,0,---,??_???_??_?_??_?_?_??_?_??_??_?_??_??_?_?_??_???_??_?_??_??_?,1.17,1.83,0.87,3.03,1.95,1.76,2.76,6.94,0.83
15,15,15,5,sentence,CREATIVE2_A1,P11_P2,en,zh,P,2,P11,7,644506,644506,308923,312290,23293,86,303210,32373,63,290218,45365,45,272722,62861,33,215211,120372,15,25,0,0,0,0,0,0,0,0,283,286,283,286,0,0,0,0,21,107,22,44,0,---,Asante_??_??_?_?_??_??_?_?_S_?_?_ilite_?_???_?_?_??_??_?_??_?,1.29,1.67,0.92,4.33,2.53,2,3.1,6.7,0.85
1,1,1,6,paragraph,CREATIVE2_A1,P11_P5,en,zh,P,5,P11,1,13949,13949,10949,2292,708,1,2292,708,1,2292,708,1,2292,708,1,0,3000,0,1,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,3,18,1,4,0,---,????,1,3,3.32,1,0.51,3.32,3.32,2.92,0.6
2,2,2,7,paragraph,CREATIVE2_A1,P11_P5,en,zh,P,5,P11,2,110471,110471,87577,21575,1319,6,20811,2083,4,20811,2083,4,18121,4773,2,15646,7248,1,2,0,0,0,0,0,0,0,0,20,18,20,18,0,0,0,0,6,28,5,10,0,---,??_???_?_??_?,1.17,1.67,1.27,2.67,2.13,1.69,2.53,4.38,0.74
3,3,3,8,paragraph,CREATIVE2_A1,P11_P5,en,zh,P,5,P11,1,34161,34161,34148,0,13,0,0,13,0,0,13,0,0,13,0,0,13,0,1,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,11,53,12,20,0,---,?_?_?_??_??_?_????_?_??_??_?_?,1.36,1.36,0.73,3.45,0.89,0.66,1.27,4.72,0.7
