Id,STseg,TTseg,ParaId,Segmentation,Study,Session,SL,TL,Task,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,TAGnbr,SAGnbr,HSgrp,Cross,HCross,HTra,HSTC,HTot,HTotN
5,5,5,2,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,1,279761,279761,53637,216831,9293,48,212766,13358,38,203368,22756,25,191150,34974,15,161735,64389,7,11,0,0,0,0,0,0,0,0,131,132,131,132,0,0,0,0,35,180,45,73,0,---,S_?_?_ilites_?_??_??_??_?_?_?_??_??_??_?_?_??_??_?_??_??_??_?_??_??_?_??_?_?_??_?_?_??_?_??_??_?_???_??_?_?_?_??_?_?,1.54,1.4,0.54,3.17,1.86,1.64,2.53,7.11,0.83
6,6,6,2,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,3,318449,318449,100810,194650,22989,93,187266,30373,75,159845,57794,35,135127,82512,18,90045,127594,5,11,0,0,0,0,0,0,0,0,312,235,312,235,0,0,0,0,55,325,56,92,0,---,??_?_??_??_??_?_??_?_?_—_—_??_??_??_??_??_??_??_??_?_??_?_?_?_??_??_??_?_??_?_??_—_—_??_??_?_??_??_?_?_??_??_500_?_??_??_?_?_?_?_??_??_????_?_??_?,1.84,2.2,1.34,3.69,2.07,2.62,3.09,8.02,0.87
7,7,7,3,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,4,358425,62627,319437,29971,9017,24,26304,12684,15,21129,17859,7,19896,19092,6,5076,33912,1,4,0,0,0,0,0,0,0,0,102,94,102,94,0,0,0,0,8,29,12,20,0,---,??_?_?_??_??_?_???_?_??_?_??_?,2.75,1.75,1.28,3.75,2.69,2.71,3.33,5.09,0.79
8,8,8,3,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,2,18308,18308,10152,7193,963,3,7193,963,3,6004,2152,1,6004,2152,1,6004,2152,1,3,0,0,0,0,0,0,0,0,18,18,18,18,0,0,0,0,8,27,7,11,0,---,?_??_?_??_?_??_?,1.25,2.5,1.28,2,0.99,1.61,2.36,4.47,0.69
9,9,9,4,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,1,43434,43434,6574,33170,3690,18,31254,5606,13,24926,11934,4,23656,13204,3,16759,20101,1,1,0,0,0,0,0,0,0,0,60,58,60,58,0,0,0,0,4,14,5,9,0,---,?_?_????_?_?,2,1.5,1.34,2.5,1.11,1.84,2.09,3.86,0.71
10,10,10,4,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,3,403048,403048,192818,189884,20346,80,182280,27950,61,154625,55605,22,142223,68007,14,121006,89224,8,8,0,0,0,0,0,0,0,0,267,280,267,280,0,0,0,0,27,140,36,57,0,---,?_S_?_?_ilite_??_??_?_?_?_?_?_?_??_???_??_?_????_?_?_?_??_??_?_?_?_??_?_?_??_??_?_?_??_??_?,1.67,1.74,0.86,5.19,2.8,2.77,3.33,7.25,0.88
11,11,11,4,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,1,30098,30098,21427,8218,453,3,8218,453,3,6913,1758,1,6913,1758,1,6913,1758,1,1,0,0,0,0,0,0,0,0,7,13,7,13,0,0,0,0,14,73,13,20,0,---,??_?_?_??_?_?_??_?_??_?_??_??_?,1.36,1.71,1.18,2.79,1.62,1.71,2.16,5.62,0.77
12,12,12,4,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,1,41625,41625,10937,25444,5244,16,24663,6025,14,18819,11869,6,15827,14861,4,7700,22988,1,1,0,0,0,0,0,0,0,0,65,64,65,64,0,0,0,0,10,47,9,21,0,---,???_??_????_?_???_??_?_???_?,2,2.6,0.6,5.2,2.21,2.15,3.06,5.24,0.77
13,13,13,4,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,2,175875,175875,165226,7688,2961,11,6150,4499,7,1592,9057,1,0,10649,0,0,10649,0,1,0,0,0,0,0,0,0,0,41,41,41,41,0,0,0,0,5,20,5,8,0,---,?_??_??_?_?,1.4,1.4,0.17,1.6,0.82,2.21,2.26,4.16,0.72
14,14,14,4,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,3,159870,159870,118863,37749,3258,16,36509,4498,13,31314,9693,6,30287,10720,5,18104,22903,1,6,0,0,0,0,0,0,0,0,51,50,51,50,0,0,0,0,29,142,26,43,0,---,??_???_??_?_??_?_?_??_??_??_?_?_??_??_?_?_??_??_?_??_??_?_?_??_??_?,1.55,1.83,1.15,4.52,2.29,2.09,2.67,6.94,0.83
15,15,15,5,sentence,CREATIVE2_A1,P02_P2,en,zh,P,2,P02,1,211189,211189,144501,61752,4936,28,59770,6918,23,51353,15335,11,44762,21926,6,33188,33500,3,2,0,0,0,0,0,0,0,0,81,91,81,91,0,0,0,0,21,107,22,37,0,---,?_???_?_S_?_?_ilite_??_??_?_?_??_?_?_??_??_?_??_??_?_??_?,1.76,1.86,1.64,8.14,3.01,2.74,3.18,6.7,0.85
1,1,1,6,paragraph,CREATIVE2_A1,P02_P5,en,zh,P,5,P02,1,13675520,10771,13664749,10145,626,4,9743,1028,3,9189,1582,2,7671,3100,1,7671,3100,1,0,0,0,0,0,0,0,0,0,10,9,10,9,0,0,0,0,3,18,2,4,0,---,??_??,1,1.67,0.15,1,0.51,1.88,2.55,2.92,0.6
2,2,2,7,paragraph,CREATIVE2_A1,P02_P5,en,zh,P,5,P02,1,10959,10959,6035,3253,1671,5,2044,2880,2,1494,3430,1,0,4924,0,0,4924,0,1,0,0,0,0,0,0,0,0,14,15,14,15,0,0,0,0,6,28,2,7,0,---,??_????,1,4.33,2.93,1.83,1.19,2.99,3.06,4.38,0.74
3,3,3,8,paragraph,CREATIVE2_A1,P02_P5,en,zh,P,5,P02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,53,14,20,0,---,?_?_?_??_?_??_??_?_?_?_??_??_?_?,1.27,1,0.3,3.82,0.66,0.55,0.97,4.72,0.7
4,4,4,9,paragraph,CREATIVE2_A1,P02_P5,en,zh,P,5,P02,2,577956,577956,74904,469119,33933,147,455642,47410,114,423628,79424,67,391734,111318,44,334598,168454,26,23,0,0,0,0,0,0,0,0,469,464,469,464,0,0,0,0,131,629,142,224,0,---,?_?_??_??_??_??_?_?_?_?_?_?_??_??_?_?_??_?_?_?_?_??_?_?_??_?_?_?_?_?_??_eMotiv_??_?_?_??_??_?_?_??_?_??_?_?_??_???_?_??_???_?_???_?_???_?_?_?_??_??_?_?_??_??_??_?_?_??_?_?_??_??_??_?_?_?_?_?_??_?_??_?_?_??_?_?_??_?_??_?_??_???_?_??_?_?_??_?_?_?_??_??_?_?_??_?_2017_?_?_?_??_??_??_??_?_?_????_?_?_?_????_?_????_?_??_?_??_?_??_??_??_?_?_??_??_?_?_??_?_??_?_??_??_?,1.44,1.46,0.66,4.56,1.46,1.54,1.99,8.53,0.82
5,5,5,10,paragraph,CREATIVE2_A1,P02_P5,en,zh,P,5,P02,1,232071,232071,11653,216207,4211,42,212593,7825,33,206384,14034,24,205068,15350,23,170601,49817,12,14,0,0,0,0,0,0,0,0,82,82,82,82,0,0,0,0,107,502,106,169,0,---,??_??_??_??_?_?_??_??_?_?_?_??_?_?_?_??_?_??_??_??_?_??_?_??_?_?_??_?_??_??_??_?_??_???_??_??_??_?_???_??_??_?_??_?_??_??_?_??_???_??_??_?_?_??_??_?_?_?_?_??_??_?_?_?_?_??_??_?_??_?_?_??_?_?_?_??_?_??_?_?_?_?_???_?_?_??_?_??_?_?_?_?_??_600_??_?_??_?_??_?_?_????_?_???_??_?,1.31,1.58,0.56,2.8,1.44,1.44,2.08,8.1,0.81
1,1,1,1,paragraph,CREATIVE2_A1,P03_P2,en,zh,P,2,P03,1,34326,34326,33500,616,210,1,616,210,1,0,826,0,0,826,0,0,826,0,1,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0,0,1,5,1,2,0,---,??,1,1,0,1,0.46,3.46,3.46,2.22,0.64
2,2,2,2,paragraph,CREATIVE2_A1,P03_P2,en,zh,P,2,P03,3,4397714,3386300,1125516,3143729,128469,545,3096595,175603,426,2968203,303995,246,2868655,403543,170,2663682,608516,104,82,0,0,0,0,0,0,0,0,1299,1280,1299,1280,0,0,0,0,126,696,152,259,0,---,???_????_?_??_?_??_??_?_?_??_??_?_?_??_?_?_??_????_?_??_??_?_?_?_?_??_?_??_?_??_?_??_??_?_??_?_??_?_??_?_??_??_?_??_?_????_??_?_??_?_?_??_??_?_??_?_??_?_??_?_??_??_??_??_??_?_??_?_?_??_?_??_??_??_?_??_?_?_?_??_?_??_??_?_???_???_???_??_?_?_??_?_?_??_??_??_?_??_??_?_?_?_??_?_?_??_??_??_?_??_—_—_??_??_??_??_??_?_??_??_??_??_??_?_??_??_?_??_??_??_?_???_??_??_?_?_??_?_?_?_?_????_?_??_??_?_??_??_500_?_???_?,1.85,1.89,0.99,4.51,2.22,2.37,2.86,8.92,0.85
3,3,3,3,paragraph,CREATIVE2_A1,P03_P2,en,zh,P,2,P03,2,293168,293168,123015,158165,11988,45,153844,16309,35,142645,27508,18,134026,36127,12,112852,57301,5,10,0,0,0,0,0,0,0,0,139,141,139,141,0,0,0,0,16,56,10,22,0,---,?_???_??_????_?_??_????_?_??_?,3,5.5,2.23,6.38,3.46,3.01,3.46,5.71,0.77
4,4,4,4,paragraph,CREATIVE2_A1,P03_P2,en,zh,P,2,P03,2,2305566,1928122,402471,1787054,116041,507,1735185,167910,374,1622627,280468,212,1483212,419883,112,1324354,578741,60,39,0,0,0,0,0,0,0,0,1261,1272,1261,1272,0,0,0,0,89,436,94,162,0,---,?_?_??_?_?_??_??_?_?_??_?_??_???_?_??_??_??_?_??_?_??_?_??_?_??_?_?_??_?_?_??_??_??_?_??_?_??_??_?_???_?_??_?_??_??_??_??_?_???_?_?_?_????_?_???_?_??_?_???_??_??_?_?_?_??_???_??_??_?_???_?_??_?_???_??_??_?_??_??_?_??_?_??_??_??_??_?_??_??_??_?_??_??_?,2.25,2.6,1.25,5.43,2.52,2.88,3.23,8.53,0.86
5,5,5,5,paragraph,CREATIVE2_A1,P03_P2,en,zh,P,2,P03,1,604543,604543,194794,393524,16225,51,388825,20924,39,381029,28720,28,369756,39993,19,342682,67067,10,6,0,0,0,0,0,0,0,0,128,148,128,148,0,0,0,0,21,107,15,27,0,---,???_???_??_??_?_?_?_??_???_?_?_??_?_??_?,1.19,2.52,1.66,4.76,2.61,1.91,2.98,6.7,0.85
