Id,STseg,SegId,Study,Session,Order,SL,TL,Task,Task2,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,TAGnbr,SAGnbr,HSgrp,Cross,HCross,HTra,HSTC,HTot,HTotN
6,6,6,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,3,466297,466297,82511,365009,18777,88,359435,24351,74,338825,44961,45,319648,64138,30,264081,119705,12,8,0,0,0,0,0,0,0,0,242,319,242,319,0,0,0,0,49,269,52,89,0,---,?_??_?_??_???_???_??_?_?_?_?_??_??_?_?_??_??_?_??_??_?_?_?_???_?_???_?_??_????_?_??_??_?_?_??_??_??_??_??_??_?_?_??_??_??_?_??_??_??_?_??_?,1.61,2.02,1.42,4.24,2.55,2.62,3.39,7.98,0.86
7,7,7,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,2,290591,290591,61933,199326,29332,104,188191,40467,75,161016,67642,35,141252,87406,22,99386,129272,8,4,0,0,0,0,0,0,0,0,368,369,368,369,0,0,0,0,41,226,44,73,0,---,??_?_??_?_??_???_??_??_??_?_??_??_?_??_??_??_??_?_??_?_?_??_??_?_??_?_??_??_??_?_??_?_?_??_??_??_?_??_?_?_??_?_??_?,1.66,1.98,0.85,3.73,2.29,2.34,3.08,7.77,0.86
8,8,8,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,1,158290,158290,13260,130288,14742,50,123873,21157,34,112417,32613,17,100250,44780,8,83587,61443,3,2,0,0,0,0,0,0,0,0,160,158,160,158,0,0,0,0,23,123,21,38,0,---,??_????_??_??_?_???_?_??_?_??_?_??_?_??_?_??_??_??_?_??_?,1.26,1.7,0.73,3.22,2.16,2.55,3.02,6.97,0.85
9,9,9,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,1,133065,133065,65682,63159,4224,20,61537,5846,16,57893,9490,11,53791,13592,8,39841,27542,4,9,0,0,0,0,0,0,0,0,55,50,55,50,0,0,0,0,23,124,25,39,0,---,??_??_?_???_??_?_??_?_??_?_?_??_?_?_??_???_?_?_??_?_?_?_?_??_?,1.22,1.26,0.72,2.65,1.78,1.8,2.57,6.85,0.83
10,10,10,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,1,67891,67891,11714,50043,6134,27,48752,7425,24,41567,14610,13,37174,19003,10,12608,43569,2,7,0,0,0,0,0,0,0,0,80,75,80,75,0,0,0,0,8,50,14,28,0,---,??_?_??_?_??_??_?_?_Malika_????_?_??_?_?,1.75,1,0.2,3.38,2.5,2.08,3.25,5.88,0.88
11,11,11,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,1,34116,34116,31549,1179,1388,2,845,1722,1,0,2567,0,0,2567,0,0,2567,0,1,0,0,0,0,0,0,0,0,19,17,19,17,0,0,0,0,5,20,5,9,0,---,??_?_??_??_?,1.2,1.4,0.22,2.4,1.57,1.25,2.67,4.16,0.69
12,12,12,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,1,54075,54075,51885,1358,832,2,898,1292,1,0,2190,0,0,2190,0,0,2190,0,1,0,0,0,0,0,0,0,0,12,12,12,12,0,0,0,0,4,25,4,8,0,---,??_??_??_?,1,1,0.06,1,0.71,0.42,0.81,3.9,0.68
13,13,13,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,1,201170,201170,17456,161399,22315,68,157183,26531,57,139394,44320,32,115777,67937,16,87447,96267,6,6,0,0,0,0,0,0,0,0,266,254,266,254,0,0,0,0,29,138,28,56,0,---,ANA008_??_??_??_?_??_?_??_??_?_??_?_??_??_??_???_??_?_Malika_?_?_??_?_??_?_??_??_?,1.83,2.17,2.12,3.38,2.49,2.9,3.4,6.88,0.8
14,14,14,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,1,25799,25799,24722,691,386,1,691,386,1,0,1077,0,0,1077,0,0,1077,0,1,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,8,44,8,16,0,---,??_??_??_??_?_???_??_?,1.12,1.25,0.45,1.38,2.14,1.51,2.53,5.37,0.8
15,15,15,CREATIVE_A1,P02_P1,2,en,zh,P,1,1,P02,1,53269,53269,20217,31669,1383,9,30848,2204,7,29079,3973,4,27099,5953,3,27099,5953,3,2,0,0,0,0,0,0,0,0,22,19,22,19,0,0,0,0,9,40,10,15,0,---,?_?_??_?_??_?_?_??_??_?,1.33,1.22,1.12,2,2.17,2.41,3.19,5.52,0.8
1,1,16,CREATIVE_A1,P02_T3,1,en,zh,T,-1,3,P02,1,38694,38694,37418,559,717,1,559,717,1,0,1276,0,0,1276,0,0,1276,0,0,0,0,0,0,0,0,0,0,12,10,12,10,0,0,0,0,2,11,1,2,0,---,??,1,2,0,1,0,0,0,0,0
2,2,17,CREATIVE_A1,P02_T3,1,en,zh,T,-1,3,P02,2,326508,326508,25784,289151,11573,70,283823,16901,56,271964,28760,40,243838,56886,20,215379,85345,10,1,0,0,0,0,0,0,0,0,166,142,166,142,0,0,0,0,15,77,14,25,0,---,"??_??_?_,_????_??_?_??_??_?_??_??_?_?",1.87,1.93,0.14,4.93,1.72,1.78,2.61,5.55,0.74
3,3,18,CREATIVE_A1,P02_T3,1,en,zh,T,-1,3,P02,2,145421,145421,52387,71378,21656,67,63207,29827,46,48009,45025,25,19615,73419,4,10859,82175,1,1,0,0,0,0,0,0,0,0,292,229,292,229,0,0,0,0,39,208,43,64,0,---,?_??_??_??_??_??_?_—_—_??_??_?_??_??_??_?_?_??_??_?_??_??_?_??_?_?_?_?_?_?_?_?_?_??_?_—_—_??_??_??_?_??_?,1.67,1.72,0.69,3.49,1.77,1.69,2.59,7.24,0.82
4,4,19,CREATIVE_A1,P02_T3,1,en,zh,T,-1,3,P02,1,54333,54333,14638,27821,11874,31,23638,16057,21,17912,21783,14,0,39695,0,0,39695,0,0,0,0,0,0,0,0,0,0,159,126,159,126,0,0,0,0,18,103,19,34,0,---,??_??_?_??_??_??_?_?_??_?_?_??_???_??_??_??_??_??_?,1.72,2,1.25,2.94,2.64,2.72,3.44,6.73,0.87
5,5,20,CREATIVE_A1,P02_T3,1,en,zh,T,-1,3,P02,1,71477,71477,18660,34666,18151,39,30410,22407,28,21131,31686,15,0,52817,0,0,52817,0,0,0,0,0,0,0,0,0,0,187,150,187,150,0,0,0,0,18,101,21,38,0,---,?_?_??_?_???_??_??_??_??_?_??_??_??_?_??_??_?_???_??_??_?,1.67,1.56,0.8,4.39,2.19,2.2,3.05,6.69,0.86
6,6,21,CREATIVE_A1,P02_T3,1,en,zh,T,-1,3,P02,1,53275,53275,8573,31969,12733,35,27003,17699,22,22803,21899,16,2006,42696,1,0,44702,0,2,0,0,0,0,0,0,0,0,204,156,204,156,0,0,0,0,29,139,22,49,0,---,????_????_?_???_??_?_??_??_??_?_?_???_?_??_??_????_?_?_????_???_???_?,1.62,2.17,1.06,3.76,2.06,1.86,2.79,6.82,0.81
7,7,22,CREATIVE_A1,P02_T3,1,en,zh,T,-1,3,P02,1,44228,44228,6949,28803,8476,31,25283,11996,22,17756,19523,11,5579,31700,1,5579,31700,1,0,0,0,0,0,0,0,0,0,125,96,125,96,0,0,0,0,17,86,18,30,0,---,“_??_13_?_”_?_??_??_??_???_?_?_??_??_?_??_??_?,1.47,1.59,0.76,3.35,1.9,2.16,2.99,5.99,0.78
8,8,23,CREATIVE_A1,P02_T3,1,en,zh,T,-1,3,P02,1,52268,52268,38454,9180,4634,11,8259,5555,9,5409,8405,5,0,13814,0,0,13814,0,0,0,0,0,0,0,0,0,0,62,46,62,46,0,0,0,0,15,59,10,17,0,---,?_??_??_?_??_??_?_??_??_?,1.4,2.6,0.61,4.27,2.19,2.91,3.2,6.07,0.81
